,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
8,30,52,0.366,32.0,97.0,100.6,-3.78,2011,Detroit Pistons
9,19,63,0.232,43.0,95.5,104.5,-8.88,2011,Cleveland Cavaliers
10,58,24,0.707,—,102.1,94.6,6.76,2011,Miami Heat*
11,52,30,0.634,6.0,99.2,93.7,4.92,2011,Orlando Magic*
12,44,38,0.537,14.0,95.0,95.8,-1.1,2011,Atlanta Hawks*
13,34,48,0.415,24.0,93.3,97.3,-4.08,2011,Charlotte Bobcats
14,23,59,0.28,35.0,97.3,104.7,-7.3,2011,Washington Wizards
0,55,27,0.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder*
1,50,32,0.61,5.0,107.5,102.7,4.81,2011,Denver Nuggets*
2,48,34,0.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers*
3,39,43,0.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz
4,17,65,0.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves
5,57,25,0.695,—,101.5,95.4,6.01,2011,Los Angeles Lakers*
6,40,42,0.488,17.0,105.0,105.9,-0.46,2011,Phoenix Suns
7,36,46,0.439,21.0,103.4,105.7,-2.0,2011,Golden State Warriors
8,32,50,0.39,25.0,98.6,101.8,-2.71,2011,Los Angeles Clippers
9,24,58,0.293,33.0,99.4,104.7,-4.8,2011,Sacramento Kings
10,61,21,0.744,—,103.7,98.0,5.86,2011,San Antonio Spurs*
11,57,25,0.695,4.0,100.2,96.0,4.41,2011,Dallas Mavericks*
12,46,36,0.561,15.0,94.9,94.0,1.28,2011,New Orleans Hornets*
13,46,36,0.561,15.0,99.9,97.6,2.55,2011,Memphis Grizzlies*
14,43,39,0.524,18.0,105.9,103.7,2.37,2011,Houston Rockets
0,39,27,0.591,—,91.8,89.3,2.26,2012,Boston Celtics*
1,36,30,0.545,3.0,97.8,94.7,2.39,2012,New York Knicks*
2,35,31,0.53,4.0,93.6,89.4,3.59,2012,Philadelphia 76ers*
3,23,43,0.348,16.0,90.7,94.0,-3.67,2012,Toronto Raptors
4,22,44,0.333,17.0,93.1,99.1,-6.37,2012,New Jersey Nets
5,50,16,0.758,—,96.3,88.2,7.43,2012,Chicago Bulls*
6,42,24,0.636,8.0,97.7,94.4,2.6,2012,Indiana Pacers*
7,31,35,0.47,19.0,99.0,98.7,-0.23,2012,Milwaukee Bucks
8,25,41,0.379,25.0,90.9,95.7,-5.19,2012,Detroit Pistons
9,21,45,0.318,29.0,93.0,100.2,-7.34,2012,Cleveland Cavaliers
10,46,20,0.697,—,98.5,92.5,5.72,2012,Miami Heat*
11,40,26,0.606,6.0,96.6,93.2,2.67,2012,Atlanta Hawks*
12,37,29,0.561,9.0,94.2,93.4,0.46,2012,Orlando Magic*
13,20,46,0.303,26.0,93.6,98.4,-5.14,2012,Washington Wizards
14,7,59,0.106,39.0,87.0,100.9,-13.96,2012,Charlotte Bobcats
0,47,19,0.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder*
1,38,28,0.576,9.0,104.1,101.2,3.16,2012,Denver Nuggets*
2,36,30,0.545,11.0,99.7,99.0,0.92,2012,Utah Jazz*
3,28,38,0.424,19.0,97.2,97.8,-0.22,2012,Portland Trail Blazers
4,26,40,0.394,21.0,97.9,100.1,-1.83,2012,Minnesota Timberwolves
5,41,25,0.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers*
6,40,26,0.606,1.0,97.5,95.0,2.82,2012,Los Angeles Clippers*
7,33,33,0.5,8.0,98.4,98.6,0.29,2012,Phoenix Suns
8,23,43,0.348,18.0,97.8,101.2,-2.79,2012,Golden State Warriors
9,22,44,0.333,19.0,98.8,104.4,-4.95,2012,Sacramento Kings
10,50,16,0.758,—,103.7,96.5,7.28,2012,San Antonio Spurs*
11,41,25,0.621,9.0,95.0,93.0,2.43,2012,Memphis Grizzlies*
12,36,30,0.545,14.0,95.8,94.8,1.78,2012,Dallas Mavericks*
13,34,32,0.515,16.0,98.1,97.9,0.57,2012,Houston Rockets
14,21,45,0.318,29.0,89.6,93.4,-3.11,2012,New Orleans Hornets
0,54,28,0.659,—,100.0,95.7,3.73,2013,New York Knicks*
1,49,33,0.598,5.0,96.9,95.1,1.25,2013,Brooklyn Nets*
2,41,40,0.506,12.5,96.5,96.7,-0.62,2013,Boston Celtics*
3,34,48,0.415,20.0,93.2,96.5,-3.51,2013,Philadelphia 76ers
4,34,48,0.415,20.0,97.2,98.7,-1.96,2013,Toronto Raptors
5,49,32,0.605,—,94.7,90.7,3.34,2013,Indiana Pacers*
6,45,37,0.549,4.5,93.2,92.9,-0.02,2013,Chicago Bulls*
7,38,44,0.463,11.5,98.9,100.4,-1.83,2013,Milwaukee Bucks*
8,29,53,0.354,20.5,94.9,98.8,-4.33,2013,Detroit Pistons
9,24,58,0.293,25.5,96.5,101.2,-4.87,2013,Cleveland Cavaliers
10,66,16,0.805,—,102.9,95.0,7.03,2013,Miami Heat*
11,44,38,0.537,22.0,98.0,97.5,-0.08,2013,Atlanta Hawks*
12,29,53,0.354,37.0,93.2,95.8,-2.78,2013,Washington Wizards
13,21,61,0.256,45.0,93.4,102.7,-9.29,2013,Charlotte Bobcats
14,20,62,0.244,46.0,94.1,101.1,-7.12,2013,Orlando Magic
0,60,22,0.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder*
1,57,25,0.695,3.0,106.1,101.1,5.37,2013,Denver Nuggets*
2,43,39,0.524,17.0,98.0,98.1,0.3,2013,Utah Jazz
3,33,49,0.402,27.0,97.5,100.7,-2.53,2013,Portland Trail Blazers
4,31,51,0.378,29.0,95.7,98.1,-1.83,2013,Minnesota Timberwolves
5,56,26,0.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers*
6,47,35,0.573,9.0,101.2,100.3,1.32,2013,Golden State Warriors*
7,45,37,0.549,11.0,102.2,101.0,1.48,2013,Los Angeles Lakers*
8,28,54,0.341,28.0,100.2,105.1,-4.26,2013,Sacramento Kings
9,25,57,0.305,31.0,95.2,101.6,-5.75,2013,Phoenix Suns
10,58,24,0.707,—,103.0,96.6,6.67,2013,San Antonio Spurs*
11,56,26,0.683,2.0,93.4,89.3,4.32,2013,Memphis Grizzlies*
12,45,37,0.549,13.0,106.0,102.5,3.69,2013,Houston Rockets*
13,41,41,0.5,17.0,101.1,101.7,-0.24,2013,Dallas Mavericks
14,27,55,0.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets
0,48,34,0.585,—,101.3,98.0,2.55,2014,Toronto Raptors*
1,44,38,0.537,4.0,98.5,99.5,-1.58,2014,Brooklyn Nets*
2,37,45,0.451,11.0,98.6,99.4,-1.4,2014,New York Knicks
3,25,57,0.305,23.0,96.2,100.7,-4.97,2014,Boston Celtics
4,19,63,0.232,29.0,99.5,109.9,-10.66,2014,Philadelphia 76ers
5,56,26,0.683,—,96.7,92.3,3.63,2014,Indiana Pacers*
6,48,34,0.585,8.0,93.7,91.8,1.2,2014,Chicago Bulls*
7,33,49,0.402,23.0,98.2,101.5,-3.86,2014,Cleveland Cavaliers
8,29,53,0.354,27.0,101.0,104.7,-4.13,2014,Detroit Pistons
9,15,67,0.183,41.0,95.5,103.7,-8.41,2014,Milwaukee Bucks
10,54,28,0.659,—,102.2,97.4,4.15,2014,Miami Heat*
11,44,38,0.537,10.0,100.7,99.4,0.48,2014,Washington Wizards*
12,43,39,0.524,11.0,96.9,97.1,-0.89,2014,Charlotte Bobcats*
13,38,44,0.463,16.0,101.0,101.5,-0.88,2014,Atlanta Hawks*
14,23,59,0.28,31.0,96.5,102.0,-5.88,2014,Orlando Magic
0,59,23,0.72,—,106.2,99.8,6.66,2014,Oklahoma City Thunder*
1,54,28,0.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers*
2,40,42,0.488,19.0,106.9,104.3,3.1,2014,Minnesota Timberwolves
3,36,46,0.439,23.0,104.4,106.5,-1.4,2014,Denver Nuggets
4,25,57,0.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz
5,57,25,0.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers*
6,51,31,0.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors*
7,48,34,0.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns
8,28,54,0.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings
9,27,55,0.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers
10,62,20,0.756,—,105.4,97.6,8.0,2014,San Antonio Spurs*
11,54,28,0.659,8.0,107.7,103.1,5.06,2014,Houston Rockets*
12,50,32,0.61,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies*
13,49,33,0.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks*
14,34,48,0.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans
0,49,33,0.598,—,104.0,100.9,2.45,2015,Toronto Raptors*
1,40,42,0.488,9.0,101.4,101.2,-0.4,2015,Boston Celtics*
2,38,44,0.463,11.0,98.0,100.9,-3.13,2015,Brooklyn Nets*
3,18,64,0.22,31.0,92.0,101.0,-9.04,2015,Philadelphia 76ers
4,17,65,0.207,32.0,91.9,101.2,-9.5,2015,New York Knicks
5,53,29,0.646,—,103.1,98.7,4.08,2015,Cleveland Cavaliers*
6,50,32,0.61,3.0,100.8,97.8,2.54,2015,Chicago Bulls*
7,41,41,0.5,12.0,97.8,97.4,-0.09,2015,Milwaukee Bucks*
8,38,44,0.463,15.0,97.3,97.0,-0.23,2015,Indiana Pacers
9,32,50,0.39,21.0,98.5,99.5,-1.39,2015,Detroit Pistons
10,60,22,0.732,—,102.5,97.1,4.75,2015,Atlanta Hawks*
11,46,36,0.561,14.0,98.5,97.8,0.17,2015,Washington Wizards*
12,37,45,0.451,23.0,94.7,97.3,-2.92,2015,Miami Heat
13,33,49,0.402,27.0,94.2,97.3,-3.44,2015,Charlotte Hornets
14,25,57,0.305,35.0,95.7,101.4,-5.87,2015,Orlando Magic
0,51,31,0.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers*
1,45,37,0.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder
2,38,44,0.463,13.0,95.1,94.9,0.71,2015,Utah Jazz
3,30,52,0.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets
4,16,66,0.195,35.0,97.8,106.5,-8.0,2015,Minnesota Timberwolves
5,67,15,0.817,—,110.0,99.9,10.01,2015,Golden State Warriors*
6,56,26,0.683,11.0,106.7,100.1,6.8,2015,Los Angeles Clippers*
7,39,43,0.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns
8,29,53,0.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings
9,21,61,0.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers
10,56,26,0.683,—,103.9,100.5,3.82,2015,Houston Rockets*
11,55,27,0.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies*
12,55,27,0.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs*
13,50,32,0.61,6.0,105.2,102.3,3.36,2015,Dallas Mavericks*
14,45,37,0.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans*
0,56,26,0.683,—,102.7,98.2,4.08,2016,Toronto Raptors*
1,48,34,0.585,8.0,105.7,102.5,2.84,2016,Boston Celtics*
2,32,50,0.39,24.0,98.4,101.1,-2.74,2016,New York Knicks
3,21,61,0.256,35.0,98.6,106.0,-7.12,2016,Brooklyn Nets
4,10,72,0.122,46.0,97.4,107.6,-9.92,2016,Philadelphia 76ers
5,57,25,0.695,—,104.3,98.3,5.45,2016,Cleveland Cavaliers*
6,45,37,0.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers*
7,44,38,0.537,13.0,102.0,101.4,0.43,2016,Detroit Pistons*
8,42,40,0.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls
9,33,49,0.402,24.0,99.0,103.2,-3.98,2016,Milwaukee Bucks
10,48,34,0.585,—,100.0,98.4,1.5,2016,Miami Heat*
11,48,34,0.585,—,102.8,99.2,3.49,2016,Atlanta Hawks*
12,48,34,0.585,—,103.4,100.7,2.36,2016,Charlotte Hornets*
13,41,41,0.5,7.0,104.1,104.6,-0.5,2016,Washington Wizards
14,35,47,0.427,13.0,102.1,103.7,-1.68,2016,Orlando Magic
0,55,27,0.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder*
1,44,38,0.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers*
2,40,42,0.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
3,33,49,0.402,22.0,101.9,105.0,-2.81,2016,Denver Nuggets
4,29,53,0.354,26.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves
5,73,9,0.89,—,114.9,104.1,10.38,2016,Golden State Warriors*
6,53,29,0.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers*
